Brand,Asal Daerah STNK
Honda        ,Makassar
Toyota       ,Medan
Volkswagen   ,Jakarta
Maruti Suzuki,Makassar
Maruti Suzuki,Medan
BMW          ,Denpasar
Toyota       ,Makassar
BMW          ,Medan
Maruti Suzuki,Semarang
Ford         ,Jakarta
Maruti Suzuki,Semarang
Kia          ,Denpasar
Maruti Suzuki,Medan
Toyota       ,Semarang
Mercedes-Benz,Medan
Hyundai      ,Semarang
Kia          ,Bandung
Maruti Suzuki,Bandung
Maruti Suzuki,Makassar
BMW          ,Semarang
Ford         ,Yogyakarta
Toyota       ,Balikpapan
Honda        ,Medan
Audi         ,Semarang
Renault      ,Makassar
MG           ,Denpasar
Maruti Suzuki,Jakarta
Maruti Suzuki,Palembang
Maruti Suzuki,Medan
Toyota       ,Jakarta
Toyota       ,Makassar
Toyota       ,Balikpapan
Volvo        ,Balikpapan
Hyundai      ,Bandung
Maruti Suzuki,Medan
Hyundai      ,Medan
Hyundai      ,Denpasar
Hyundai      ,Semarang
Mercedes-Benz,Jakarta
Volkswagen   ,Denpasar
Maruti Suzuki,Denpasar
Hyundai      ,Medan
Audi         ,Jakarta
Toyota       ,Medan
Mercedes-Benz,Makassar
Hyundai      ,Palembang
Maruti Suzuki,Medan
Skoda        ,Palembang
Maruti Suzuki,Makassar
Tata         ,Medan
Toyota       ,Palembang
Mercedes-Benz,Makassar
Honda        ,Surabaya
Honda        ,Palembang
Hyundai      ,Makassar
Renault      ,Bandung
Maruti Suzuki,Surabaya
Toyota       ,Balikpapan
Mahindra     ,Surabaya
Hyundai      ,Balikpapan
MG           ,Surabaya
Hyundai      ,Jakarta
Mahindra     ,Bandung
Mercedes-Benz,Bandung
Hyundai      ,Surabaya
Mercedes-Benz,Balikpapan
Kia          ,Balikpapan
Toyota       ,Palembang
Maruti Suzuki,Yogyakarta
Hyundai      ,Denpasar
Hyundai      ,Jakarta
Maruti Suzuki,Denpasar
Hyundai      ,Denpasar
Honda        ,Balikpapan
Maruti Suzuki,Denpasar
Toyota       ,Bandung
Hyundai      ,Semarang
Hyundai      ,Denpasar
Kia          ,Medan
Ford         ,Bandung
Mercedes-Benz,Semarang
Mahindra     ,Balikpapan
Toyota       ,Yogyakarta
Mini         ,Makassar
Maruti Suzuki,Palembang
Volkswagen   ,Denpasar
Maruti Suzuki,Palembang
Tata         ,Balikpapan
Maruti Suzuki,Jakarta
Toyota       ,Bandung
Volkswagen   ,Medan
Maruti Suzuki,Jakarta
Volkswagen   ,Jakarta
Maruti Suzuki,Palembang
Volkswagen   ,Palembang
Maruti Suzuki,Makassar
Maruti Suzuki,Palembang
Renault      ,Yogyakarta
Toyota       ,Palembang
Land Rover   ,Balikpapan
Maruti Suzuki,Semarang
Tata         ,Jakarta
Tata         ,Medan
Mahindra     ,Yogyakarta
Toyota       ,Bandung
Skoda        ,Bandung
Maruti Suzuki,Makassar
Hyundai      ,Medan
Mahindra     ,Medan
Honda        ,Semarang
Honda        ,Palembang
Hyundai      ,Denpasar
Honda        ,Palembang
Land Rover   ,Bandung
Tata         ,Balikpapan
Tata         ,Makassar
Maruti Suzuki,Denpasar
Maruti Suzuki,Medan
Toyota       ,Denpasar
Hyundai      ,Medan
Maruti Suzuki,Balikpapan
Hyundai      ,Palembang
Toyota       ,Surabaya
Maruti Suzuki,Semarang
Volkswagen   ,Denpasar
Toyota       ,Yogyakarta
Hyundai      ,Makassar
Toyota       ,Balikpapan
Maruti Suzuki,Jakarta
Maruti Suzuki,Bandung
Hyundai      ,Bandung
Maruti Suzuki,Balikpapan
Ford         ,Medan
Honda        ,Bandung
Maruti Suzuki,Medan
Audi         ,Jakarta
Honda        ,Jakarta
Maruti Suzuki,Balikpapan
Mahindra     ,Bandung
Mahindra     ,Palembang
Volkswagen   ,Palembang
Ford         ,Surabaya
Mahindra     ,Jakarta
Mahindra     ,Makassar
Mahindra     ,Surabaya
Maruti Suzuki,Yogyakarta
Audi         ,Semarang
Hyundai      ,Denpasar
Mercedes-Benz,Semarang
Toyota       ,Jakarta
Skoda        ,Balikpapan
Ford         ,Jakarta
Honda        ,Makassar
Hyundai      ,Surabaya
Tata         ,Jakarta
Maruti Suzuki,Yogyakarta
Volkswagen   ,Yogyakarta
Hyundai      ,Palembang
Toyota       ,Denpasar
Maruti Suzuki,Surabaya
BMW          ,Jakarta
Hyundai      ,Balikpapan
BMW          ,Jakarta
Hyundai      ,Medan
Skoda        ,Yogyakarta
Hyundai      ,Yogyakarta
Mahindra     ,Yogyakarta
Mercedes-Benz,Denpasar
Honda        ,Semarang
Maruti Suzuki,Jakarta
Renault      ,Makassar
BMW          ,Palembang
Toyota       ,Medan
Volkswagen   ,Medan
Maruti Suzuki,Semarang
Hyundai      ,Yogyakarta
Maruti Suzuki,Bandung
Hyundai      ,Bandung
Maruti Suzuki,Semarang
Mercedes-Benz,Balikpapan
Honda        ,Surabaya
Maruti Suzuki,Makassar
Hyundai      ,Jakarta
Toyota       ,Yogyakarta
Kia          ,Jakarta
Volkswagen   ,Yogyakarta
Toyota       ,Makassar
BMW          ,Jakarta
Skoda        ,Bandung
Jeep         ,Palembang
Volkswagen   ,Palembang
Honda        ,Surabaya
Honda        ,Semarang
Maruti Suzuki,Surabaya
Toyota       ,Jakarta
Volkswagen   ,Semarang
Tata         ,Balikpapan
Kia          ,Jakarta
Maruti Suzuki,Denpasar
Audi         ,Surabaya
Honda        ,Jakarta
Maruti Suzuki,Jakarta
Maruti Suzuki,Denpasar
Renault      ,Balikpapan
Maruti Suzuki,Balikpapan
Chevrolet    ,Medan
Mahindra     ,Balikpapan
Hyundai      ,Jakarta
Hyundai      ,Palembang
Toyota       ,Palembang
Honda        ,Makassar
Honda        ,Denpasar
Toyota       ,Medan
Honda        ,Balikpapan
Renault      ,Denpasar
BMW          ,Yogyakarta
Honda        ,Makassar
Maruti Suzuki,Denpasar
Mahindra     ,Balikpapan
Hyundai      ,Jakarta
Hyundai      ,Medan
Toyota       ,Jakarta
Maruti Suzuki,Balikpapan
Hyundai      ,Denpasar
