"Brand","Model","Year","Age","KmDriven","Transmission","Owner","FuelType","PostedDate","IDR_Price"
Honda,City,"2001",23,"98,000 km",Manual,second,Petrol,Nov-24,37245000
Toyota,Innova,"2009",15,"190000.0 km",Manual,second,Diesel,Jul-24,71625000
Volkswagen,VentoTest,"2010",14,"77,246 km",Manual,first,Diesel,Nov-24,35334808
Maruti Suzuki,Swift,"2017",7,"83,500 km",Manual,second,Diesel,Nov-24,107915000
Maruti Suzuki,Baleno,"2019",5,"45,000 km",Automatic,first,Petrol,Nov-24,130835000
BMW,X3,"2014",10,"83,000 km",Automatic,first,Diesel,Nov-24,257850000
Toyota,Innova,"2014",10,"168,000 km",Manual,second,Diesel,Nov-24,195775008
BMW,"5 Series","2019",5,"25,000 km",Automatic,second,Diesel,Nov-24,1136450048
Maruti Suzuki,maruti-suzuki-dzire,"2020",4,"33,759 km",Manual,second,Petrol,Nov-24,118802000
Ford,Ecosport,"2017",7,"69,713 km",Manual,second,Petrol,Nov-24,123959000
Maruti Suzuki,Alto-K10,"2018",6,"70,000 km",Automatic,first,Petrol,Nov-24,75445000
Kia,Carnival,"2021",3,"25,000 km",Automatic,first,Diesel,Nov-24,553900032
Maruti Suzuki,Swift-Dzire,"2012",12,"72,700 km",Manual,second,Petrol,Nov-24,45840000
Toyota,Corolla,"2007",17,"121,931 km",Automatic,second,Petrol,Nov-24,38457848
Mercedes-Benz,GLE COUPE,"2021",3,"32,000 km",Automatic,second,Petrol,Oct-24,2253799936
Hyundai,Xcent,"2018",6,"130,000 km",Manual,second,Diesel,Nov-24,63030000
Kia,Seltos,"2020",4,"68,000 km",Manual,first,Diesel,Oct-24,199595008
Maruti Suzuki,Ertiga,"2016",8,"65,000 km",Manual,second,Diesel,Nov-24,149935008
Maruti Suzuki,Ertiga,"2017",7,"59,000 km",Automatic,second,Petrol,Nov-24,106005000
BMW,"3 Series GT","2015",9,"61,000 km",Automatic,second,Diesel,Nov-24,286500000
Ford,Endeavour,"2019",5,"77,000 km",Automatic,second,Diesel,Nov-24,458208992
Toyota,Innova Crysta,"2017",7,"107,000 km",Automatic,first,Diesel,Nov-24,253075008
Honda,City,"2010",14,"99000.0 km",Manual,first,Petrol,Nov-24,56345000
Audi,A3,"2015",9,"42,000 km",Automatic,second,Diesel,Nov-24,200550000
Renault,KWID,"2019",5,"48,073 km",Automatic,second,Petrol,Nov-24,67805000
MG,Hector,"2019",5,"32,618 km",Automatic,first,Petrol,Oct-24,238750000
Maruti Suzuki,Swift-Dzire,"2012",12,"70,000 km",Manual,second,Diesel,Nov-24,60165000
Maruti Suzuki,Celerio,"2014",10,"51,000 km",Automatic,second,Petrol,Nov-24,65895000
Maruti Suzuki,Vitara-Brezza,"2018",6,"137,000 km",Manual,first,Diesel,Nov-24,161395008
Toyota,"2.8 Legender 4X2","2023",1,"1,996 km",Automatic,first,Diesel,Nov-24,801244992
Toyota,Innova Crysta,"2017",7,"90,000 km",Manual,second,Diesel,Nov-24,372449984
Toyota,Innova,"2011",13,"84,000 km",Manual,second,Diesel,Nov-24,93590000
Volvo,S90,"2018",6,"53,000 km",Automatic,first,Diesel,Nov-24,563449984
Hyundai,Venue,"2021",3,"17,000 km",Manual,first,Petrol,Nov-24,130835000
Maruti Suzuki,Ertiga,"2018",6,"70,000 km",Manual,second,Petrol,Nov-24,143059008
Hyundai,Creta,"2023",1,"5,000 km",Automatic,first,Petrol,Nov-24,305600000
Hyundai,Alcazar,"2022",2,"47,110 km",Manual,second,Diesel,Nov-24,323744992
